ageGroup,gender,ageMin,ageMax,bodyWeightMin,bodyWeightMax,lift,record,name,date,place
W50,F,50,54,49,55,Clean & Jerk,71,Rosanna Sansone,2024-03-21,The Nike 2024 USA Weightlifting Masters National Championships Powered by Rogue Fitness
W50,F,50,54,49,55,Total,132,Rosanna Sansone,2024-03-21,The Nike 2024 USA Weightlifting Masters National Championships Powered by Rogue Fitness
W50,F,50,54,55,59,Snatch,50,Ina Hart,2021-11-05,2021 Howard Cohen American Masters
W50,F,50,54,55,59,Clean & Jerk,68,Isabelle Morency Ruiz,2021-12-11,SoCal Winter Classic 2021
W50,F,50,54,55,59,Total,115,Isabelle Morency Ruiz,2021-12-11,SoCal Winter Classic 2021
W50,F,50,54,59,64,Snatch,65,Katherine Redcher Bowling,2020-04-29,AO Series Online Qualifier - April
W50,F,50,54,59,64,Clean & Jerk,82,Katherine Redcher Bowling,2020-04-29,AO Series Online Qualifier - April
W50,F,50,54,59,64,Total,147,Katherine Redcher Bowling,2020-04-29,AO Series Online Qualifier - April
W50,F,50,54,64,71,Snatch,67,Katherine Redcher Bowling,2020-02-22,NorCal Weightlifting Meet
W50,F,50,54,64,71,Clean & Jerk,86,Katherine Redcher Bowling,2020-02-01,Folsom Open 1
W50,F,50,54,64,71,Total,152,Katherine Redcher Bowling,2020-02-01,Folsom Open 1
W50,F,50,54,71,76,Snatch,62,Katherine Redcher Bowling,2023-10-07,Caffeine and Kilos
W50,F,50,54,71,76,Clean & Jerk,75,Katherine Redcher Bowling,2023-03-11,Bulldog Weightlifting 2023
W50,F,50,54,71,76,Total,135,Katherine Redcher Bowling,2023-03-11,Bulldog Weightlifting 2023
W50,F,50,54,76,81,Snatch,62,Jennifer Valosek,2025-04-03,The 2025 USA Weightlifting Masters National Championships Powered by Rogue Fitness
W50,F,50,54,76,81,Clean & Jerk,77,Jennifer Valosek,2025-04-03,The 2025 USA Weightlifting Masters National Championships Powered by Rogue Fitness
W50,F,50,54,76,81,Total,139,Jennifer Valosek,2025-04-03,The 2025 USA Weightlifting Masters National Championships Powered by Rogue Fitness
W50,F,50,54,81,87,Snatch,48,Betty De Leon,2024-11-23,Rite of Passage 2024
W50,F,50,54,81,87,Clean & Jerk,73,Betty De Leon,2024-11-23,Rite of Passage 2024
W50,F,50,54,81,87,Total,121,Betty De Leon,2024-11-23,Rite of Passage 2024
W50,F,50,54,87,>87,Snatch,65,Candace Dees-Barrios,2020-10-18,2020 Pan American Masters
W50,F,50,54,87,>87,Clean & Jerk,84,Candace Dees-Barrios,2020-10-18,2020 Pan American Masters
W50,F,50,54,87,>87,Total,149,Candace Dees-Barrios,2020-10-18,2020 Pan American Masters
M50,M,50,54,0,55,Snatch,,,,
